#jdb (days)	RV (km/s)	RV error (km/s)	realistic RV error (km/s)	Bisector (km/s)	FWHM (km/s)	Photon noise (km/s)	log(R'hk)	log(R'hk) error	Low pass filter log(R'hk)	Alpha (hours)	Delta (degrees)	Seeing
#----------	---------	---------------	-------------------------	---------------	-----------	-------------------	---------	---------------	-------------------------	-------------	---------------	------
54941.677971	-22.526005	0.000391	0.001000	0.001603	6.267904	0.000031	-4.9417	0.0002	-4.9515	14.6587295297	-60.8341494126	0.82
54941.772732	-22.525895	0.000417	0.001010	0.002061	6.265666	0.000039	-4.9438	0.0002	-4.9515	14.6587295297	-60.8341494126	1.13
54941.840101	-22.526784	0.000387	0.000998	0.002298	6.265035	0.000034	-4.9433	0.0002	-4.9514	14.6587295297	-60.8341494126	1.31
54946.673870	-22.528991	0.000350	0.000984	0.003554	6.263769	0.000028	-4.9438	0.0002	-4.9481	14.6587256157	-60.8341434538	0.78
54946.757512	-22.527041	0.000366	0.000990	0.003603	6.263812	0.000032	-4.9445	0.0002	-4.9480	14.6587256157	-60.8341434538	0.70
54946.851689	-22.526979	0.000357	0.000987	0.003764	6.266176	0.000037	-4.9491	0.0002	-4.9480	14.6587256157	-60.8341434538	0.82
54947.625545	-22.528085	0.000367	0.000990	0.003418	6.267928	0.000032	-4.9483	0.0002	-4.9474	14.6587248651	-60.8341421876	0.69
54947.724404	-22.528088	0.000367	0.000990	0.003089	6.265781	0.000031	-4.9474	0.0002	-4.9474	14.6587248651	-60.8341421876	1.10
54947.788265	-22.527645	0.000367	0.000990	0.003320	6.264558	0.000030	-4.9473	0.0002	-4.9473	14.6587248651	-60.8341421876	1.06
54949.628263	-22.527911	0.000367	0.000990	0.004366	6.268842	0.000029	-4.9486	0.0002	-4.9460	14.6587232864	-60.8341393973	0.78
54949.715888	-22.529144	0.000367	0.000990	0.004516	6.265873	0.000032	-4.9507	0.0002	-4.9459	14.6587232864	-60.8341393973	1.08
54949.831972	-22.528786	0.000367	0.000990	0.004368	6.266916	0.000036	-4.9533	0.0002	-4.9459	14.6587232864	-60.8341393973	0.69
54950.630596	-22.528796	0.000357	0.000987	0.004319	6.262927	0.000035	-4.9482	0.0002	-4.9453	14.6587224953	-60.8341379363	0.57
54950.725492	-22.530320	0.000357	0.000987	0.004248	6.264169	0.000035	-4.9489	0.0002	-4.9452	14.6587224953	-60.8341379363	1.25
54950.827838	-22.529629	0.000357	0.000987	0.004147	6.265976	0.000036	-4.9503	0.0002	-4.9452	14.6587224953	-60.8341379363	1.02
54951.649525	-22.531243	0.000360	0.000988	0.003674	6.269437	0.000031	-4.9470	0.0002	-4.9446	14.6587216944	-60.8341364122	1.35
54951.660136	-22.532043	0.000516	0.001055	0.003484	6.267473	0.000070	-4.9471	0.0004	-4.9446	14.6587216944	-60.8341364122	0.88
54951.758071	-22.530635	0.000367	0.000990	0.003503	6.268031	0.000037	-4.9478	0.0002	-4.9445	14.6587216944	-60.8341364122	1.10
54951.851586	-22.530623	0.000367	0.000990	0.003768	6.269933	0.000045	-4.9517	0.0003	-4.9445	14.6587216944	-60.8341364122	1.46
