BJD-2450000,Ha,eHa,nothing1,Ca,nothing2,eCa,nothing3,NaD,eNaD,FWHM,eFWHM,Ins
6427.9038,0.4837,0.0011,,3.831,,0.304,,0.193,0.009,,,HARPS-Pre2015
6428.9144,0.4910,0.0011,,3.377,,0.176,,0.191,0.010,4.513267,0.000070,HARPS-Pre2015
6433.8176,0.4936,0.0015,,,,,,0.190,0.010,,,PFS
6435.7403,0.4869,0.0014,,,,,,0.173,0.009,,,PFS
6473.7859,0.4775,0.0008,,3.753,,0.019,,,,,,HIRES
6500.7123,,,,4.103,,0.084,,,,,,APF
6501.6616,0.4820,0.0012,,,,,,0.192,0.009,,,PFS
6504.7448,0.4749,0.0021,,4.342,,0.082,,0.187,0.015,,,APF
6505.7883,0.4833,0.0018,,3.981,,0.057,,0.192,0.015,,,APF
6506.7599,0.4827,0.0014,,4.042,,0.017,,,,,,HIRES
6507.6548,0.4795,0.0012,,,,,,0.186,0.009,,,PFS
6515.7371,0.4796,0.0019,,3.578,,0.056,,0.171,0.015,,,APF
6516.7643,0.5015,0.0022,,4.367,,0.060,,0.199,0.015,,,APF
6517.7028,0.4829,0.0021,,4.706,,0.058,,0.175,0.015,,,APF
6518.7086,0.4827,0.0017,,3.899,,0.076,,0.186,0.015,,,APF
6534.7142,0.4839,0.0017,,3.967,,0.054,,0.168,0.015,,,APF
6535.6913,0.4766,0.0019,,3.902,,0.066,,0.170,0.015,,,APF
6536.7295,0.4779,0.0020,,4.413,,0.099,,0.252,0.016,,,APF
6539.6663,0.4677,0.0019,,4.084,,0.061,,0.169,0.016,,,APF
6540.6856,0.4882,0.0020,,4.152,,0.055,,0.171,0.015,,,APF
6541.6684,,,,,,,,0.198,0.016,,,APF
6541.7432,,,,4.783,,0.065,,,,,,APF
6541.8180,0.4917,0.0027,,,,,,,,,,APF
6542.6815,0.4808,0.0019,,3.945,,0.055,,0.173,0.015,,,APF
6548.6927,0.4729,0.0019,,3.757,,0.066,,0.183,0.015,,,APF
6555.4947,,,,,,,,0.228,0.009,,,PFS
6562.7266,0.4783,0.0022,,4.617,,0.075,,0.233,0.015,,,APF
6563.6277,0.4856,0.0018,,4.583,,0.089,,0.218,0.015,,,APF
6570.6229,0.4768,0.0018,,4.497,,0.063,,0.213,0.015,,,APF
6573.6704,0.4686,0.0018,,4.361,,0.070,,0.213,0.016,,,APF
6574.6913,,,,,,,,0.241,0.015,,,APF
6574.6990,0.4806,0.0017,,4.481,,0.076,,,,,,APF
6577.6377,0.4807,0.0020,,4.430,,0.051,,0.203,0.015,,,APF
6581.6373,0.4734,0.0019,,4.517,,0.072,,0.209,0.015,,,APF
6583.6092,0.4729,0.0018,,,,,,,,,,APF
6583.6178,,,,5.222,,0.068,,0.251,0.015,,,APF
6590.6260,0.4813,0.0019,,4.439,,0.072,,0.214,0.015,,,APF
6591.6087,0.4853,0.0019,,4.424,,0.074,,0.201,0.014,,,APF
6709.1207,0.4845,0.0009,,4.405,,0.016,,,,,,HIRES
6733.9033,0.4721,0.0013,,,,,,0.191,0.010,,,PFS
6734.9018,0.4681,0.0012,,,,,,0.185,0.010,,,PFS
6816.7873,0.4921,0.0013,,,,,,0.196,0.009,,,PFS
6819.8030,0.4854,0.0010,,,,,,0.178,0.009,,,PFS
6841.5153,0.4726,0.0013,,4.318,,0.055,,0.192,0.009,4.520580,0.000061,HARPSN
6842.5914,0.4770,0.0014,,,,,,0.193,0.009,4.520480,0.000064,HARPSN
6843.5495,0.4964,0.0015,,5.115,,0.086,,0.200,0.009,4.516135,0.000061,HARPSN
6871.5447,0.4886,0.0014,,,,,,0.208,0.009,,,PFS
6883.5885,0.4816,0.0017,,,,,,,,,,PFS
6908.7308,0.4989,0.0008,,3.358,,0.015,,,,,,HIRES
6934.6683,0.4984,0.0021,,4.298,,0.077,,0.231,0.015,,,APF
6936.6623,0.4957,0.0019,,3.897,,0.077,,0.202,0.015,,,APF
6940.6289,,,,,,,,0.202,0.015,,,APF
6940.6336,0.4880,0.0022,,,,,,,,,,APF
6940.6383,,,,3.915,,0.080,,,,,,APF
6950.6188,,,,4.024,,0.096,,,,,,APF
6950.6206,0.4927,0.0028,,,,,,,,,,APF
6950.6317,,,,,,,,0.234,0.015,,,APF
7056.0845,0.5081,0.0021,,4.317,,0.089,,,,,,APF
7114.9209,0.4880,0.0020,,4.328,,0.076,,0.249,0.016,,,APF
7119.8314,0.4758,0.0011,,,,,,,,,,PFS
7122.9442,0.4758,0.0022,,3.632,,0.062,,0.179,0.016,,,APF
